STUDENT ID,AFE 101,AFE 103,BIO 101,CHM101,CSC 101,GST 111,GST 113,GST 115,MAT 101,PHY 101,PHY 103,PHY 107,STA 111,100L_1ST_GPA,100L_1ST_CGPA,100L_1ST_REMARK,AFE 124,AFE126,AFE128,AFE130,AFE132,CSC 102,CSC 104,GST114,GST122,MAT102,MAT104,PHY 102,PHY108,STA 132,100L_2ND_GPA,100L_2ND_CGPA,100L_2ND_REMARK,AFE 101,AFE 103,AFE203,AFE2051,BIO 101,CHM101,CSC 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,GST 111,GST 113,GST 115,MAT 101,MAT201,MAT 205,PHY 101,PHY 103,PHY 107,STA 111,STA 211,200L_1ST_GPA,200L_1ST_CGPA,200L_1ST_REMARK,AFE126,AFE130,AFE202,CSC 102,CSC 104,CSC202,CSC204,CSC206,CSC208,GST114,GST212,MAT102,MAT104,MAT204,PHY 102,PHY108,PHY202,STA 132,200L_2ND_GPA,200L_2ND_CGPA,200L_2ND_REMARK,AFE 103,AFE203,AFE2051,BIO 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,CSC299,CSC301,CSC303,CSC305,CSC307,CSC309,CSC311,CSC315,GST 113,GST 115,GST301,MAT 101,MAT201,MAT 205,PHY 101,PHY 107,STA 111,STA 211,300L_1ST_GPA,300L_1ST_CGPA,300L_1ST_REMARK,AFE126,AFE128,AFE202,CSC202,CSC 204,CSC 206,CSC 208,CSC208,CSC 302,CSC 304,CSC 306,CSC 308,CSC 310,CSC 312,CSC 314,GST212,MAT 204,PHY 102,PHY108,PHY 202,300L_2ND_GPA,300L_2ND_CGPA,300L_2ND_REMARK
5,71A,,,45D,57C,45D,48D,64B,52C,45D,60B,52C,46D,2.75,2.75,"BIO101,AFE103",56C,,51C,,,,,51C,53C,45D,70A,63B,45D,57C,3.28,2.98,"CSC102,CSC104,BIO101,AFE103",,,,,,,,50C,53C,60B,50C,47D,50C,,,,,63B,51C,,,,,46D,3.04,2.98,"AFE203,AFE2051,CSC104,BIO101,AFE103",,,64B,67B,,55C,67B,55C,63B,,84A,,,66B,,,64B,,3.83,3.22,"AFE203,AFE2051,CSC104,BIO101,AFE103",63B,45D,,70A,,,,,,,60B,61B,46D,56C,51C,45D,60B,52C,,,61B,,,,,,,,3.35,3.22,CSC104,,,,,,,,,66B,50C,54C,71A,74A,45D,46D,,,,,,3.45,3.26,CSC104
6,52C,40F,,45D,22F,24F,66B,45D,45D,46D,48D,62B,9F,1.56,1.56,"STA111,GST111,CSC101,AFE103,BIO101",45D,,45D,,,,,55C,55C,45D,76A,55C,45D,61B,3.11,2.21,"CSC102,CSC104,STA111,GST111,CSC101,AFE103,BIO101",,,,47D,,,82A,62B,50C,45D,45D,67B,,45D,,,,61B,,,,,50C,,3.19,2.21,"CSC211,STA211,MAT205,AFE103,BIO101",,,,46D,60B,45D,45D,16F,52C,,,,,46D,,,45D,,2.13,2.46,"CSC206,AFE202,GST212,CSC211,STA211,MAT205,AFE103,BIO101",,,,46D,,,,,,,,,,45D,52C,,45D,,,,,,,15F,,,,45D,1.83,2.46,"MAT205,CSC301,CSC303,CSC309,GST301,CSC299,CSC315,AFE202,GST212,CSC211,MAT205,AFE103",,,,,,45D,,,70A,13F,50C,56C,50C,,,,,,,,2.83,2.36,"CSC304,CSC312,CSC314,MAT205,CSC301,CSC303,CSC309,GST301,CSC299,CSC315,AFE202,GST212,CSC211,MAT205,AFE103"
7,52C,64B,,45D,50C,46D,39F,52C,45D,47D,65B,17F,19F,2.00,2.00,"STA111,PHY107,GST113,BIO101",,27F,32F,,,,,39F,60B,26F,22F,50C,76A,26F,1.22,1.67,"MAT104,STA132,GST114,AFE126,AFE128,MAT102,CSC102,CSC104,STA111,PHY107,GST113,BIO101",,,46D,,28F,,,45D,45D,50C,45D,45D,,,,,,60B,45D,,,,,45D,2.11,1.67,"BIO101,CSC211,AFE126,AFE128,STA111,PHY107,GST113,BIO101",,,75A,60B,64B,,46D,53C,,58C,,45D,52C,54C,,,,72A,3.23,2.22,"CSC208,CSC202,PHY202,GST212,BIO101,CSC211,AFE126,AFE128,STA111,PHY107,GST113,BIO101",,,,,,,,,,,60B,60B,46D,45D,50C,45D,17F,45D,,,58C,,,,,,,,2.42,2.22,"CSC311,CSC208,CSC202,PHY202,BIO101,CSC211,AFE126,AFE128,STA111,PHY107,GST113,BIO101",0F,0F,,,,,,,47D,12F,45D,60B,45D,11F,,52C,,,,,1.65,2.26,"CSC312,CSC304,CSC314,CSC311,CSC208,CSC202,PHY202,BIO101,CSC211,AFE126,AFE128,STA111,PHY107,GST113,BIO101"
8,72A,67B,,67B,80A,60B,60B,80A,45D,78A,65B,45D,45D,3.76,3.76,BIO101,,68B,71A,,,,,73A,70A,72A,60B,61B,75A,70A,4.61,4.12,"CSC102,CSC104,BIO101",,,61B,,77A,,,77A,76A,60B,50C,51C,67B,,,,,62B,84A,,,,,50C,4.14,4.12,PASS,,,65B,56C,70A,61B,53C,45D,45D,,,,,60B,,,68B,,3.40,3.94,GST212,,,,,,,,,,,60B,68B,57C,70A,60B,70A,60B,53C,,,65B,,,,,,,,4.00,3.94,PASS,,,,,,,,,76A,64B,70A,75A,72A,61B,76A,57C,,,,,4.58,3.95,PASS
9,31F,74A,,45D,45D,50C,51C,60B,67B,50C,64B,45D,45D,2.84,2.84,"AFE101,BIO101",,54C,,,71A,,,45D,50C,45D,15F,47D,53C,23F,1.83,2.42,"MAT104,STA132,CSC102,CSC104,AFE101,BIO101",65B,,53C,,54C,,,45D,50C,,60B,45D,,,,,,53C,45D,,,,,52C,2.84,2.42,"CSC211,CSC205,MAT104,STA132",,,,45D,62B,51C,,,,,37F,,,66B,,,60B,0F,2.68,2.60,"GST212,CSC208,CSC206,CSC204,AFE202,CSC211,CSC205,MAT104,STA132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.60,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,GST212,CSC208,CSC206,CSC204,AFE202,CSC211,CSC205,MAT104,STA132",,,,,,,,,,,,,,,,,,,,,0.00,2.60,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,GST212,CSC208,CSC206,CSC204,AFE202,CSC211,CSC205,MAT104,STA132"
10,64B,71A,,77A,92A,60B,60B,87A,64B,74A,70A,68B,75A,4.64,4.64,BIO101,89A,,83A,,,,,77A,75A,80A,45D,60B,74A,76A,4.33,4.51,"CSC102,CSC104,BIO101",,,,71A,54C,,,50C,80A,85A,73A,72A,62B,,,,,74A,93A,,,,,84A,4.54,4.51,PASS,,,88A,75A,77A,79A,74A,76A,45D,,,,,75A,,,88A,,4.64,4.55,GST212,,,,,,,,,,,70A,76A,76A,77A,71A,60B,74A,85A,,,60B,,,,,,,,4.81,4.55,PASS,,,,,,,,,80A,66B,74A,83A,78A,71A,70A,62B,,,,,4.79,4.61,PASS
11,57C,75A,,61B,60B,50C,47D,74A,62B,68B,57C,52C,60B,3.72,3.72,BIO101,,71A,,,72A,,,72A,57C,50C,50C,45D,71A,66B,3.50,3.63,"CSC102,CSC104,BIO101",,,61B,,82A,,,50C,70A,45D,60B,48D,62B,,,,,51C,76A,,,,,50C,3.64,3.63,PASS,,,75A,53C,60B,65B,57C,56C,62B,,,,,64B,,,62B,,3.68,3.65,GST212,,,,,,,,,,,62B,60B,50C,60B,54C,50C,60B,53C,,,46D,,,,,,,,3.38,3.65,PASS,,,,,,,,,76A,45D,63B,63B,70A,50C,50C,45D,,,,,3.63,3.59,PASS
12,64B,61B,,65B,85A,45D,52C,80A,67B,65B,78A,63B,70A,4.16,4.16,BIO101,,60B,,,76A,,,75A,62B,66B,53C,65B,83A,45D,3.83,4.02,"CSC102,CSC104,BIO101",,,70A,,79A,,,50C,54C,45D,50C,51C,52C,,,,,72A,64B,,,,,60B,3.61,4.02,PASS,,,70A,62B,76A,77A,68B,65B,55C,,,,,55C,,,62B,,4.04,3.91,GST212,,,,,,,,,,,72A,61B,70A,57C,60B,50C,50C,74A,,,62B,,,,,,,,4.00,3.91,GST212,,,,,,,,,80A,45D,52C,65B,60B,45D,45D,37F,,,,,2.96,3.93,"GST212,GST212"
13,46D,57C,,,46D,34F,24F,50C,72A,60B,45D,22F,54C,2.41,2.41,"GST111,GST113,PHY107,CHM101,BIO101",,52C,,65B,,,,52C,50C,34F,18F,47D,75A,45D,1.89,2.18,"MAT104,MAT102,CSC102,CSC104,GST111,GST113,PHY107,CHM101,BIO101",,,46D,,73A,45D,,50C,53C,60B,,53C,45D,45D,60B,,,60B,53C,,,,,,3.24,2.18,"CSC207,STA211,MAT104,PHY107",,,81A,62B,74A,63B,66B,64B,56C,,,74A,,65B,,,55C,,4.04,3.03,"GST212,CSC207,STA211,MAT104,PHY107",,,,,,,,,,,72A,80A,53C,60B,55C,50C,60B,,,,,,,,,,,52C,3.75,3.03,"GST301,CSC315,GST212,CSC207,MAT104,PHY107",,,,,,,,,74A,46D,61B,70A,61B,50C,60B,36F,,,,,3.58,3.17,"GST212,GST301,CSC315,GST212,CSC207,MAT104,PHY107"
14,54C,54C,,45D,57C,32F,23F,83A,61B,73A,68B,67B,50C,2.96,2.96,"GST111,GST113,BIO101",,66B,,,,,,45D,70A,60B,45D,52C,46D,86A,3.35,3.12,"CSC102,CSC104,AFE128,AFE130,AFE132,GST111,GST113,BIO101",,,63B,,,,,45D,61B,23F,5F,21F,55C,,,,,62B,45D,,,,,14F,1.72,3.12,"CSC205,CSC207,CSC2093,STA211,GST111,GST113,BIO101",,60B,80A,52C,66B,46D,72A,51C,55C,,61B,,,,,,,,3.50,2.82,"MAT204,PHY202,CSC205,CSC207,CSC2093,STA211,GST111,GST113,BIO101",,,,,,,,,,,50C,56C,25F,50C,61B,16F,45D,21F,,,58C,,,,,,,,1.96,2.82,"CSC309,CSC315,CSC303,MAT204,PHY202,CSC205,CSC207,CSC2093,STA211,GST111,GST113,BIO101",,,,,,,,,21F,,15F,46D,45D,3F,,,,,,0F,0.67,2.63,"PHY202,CSC306,CSC302,CSC312,CSC304,CSC314,CSC309,CSC315,CSC303,MAT204,PHY202,CSC205,CSC207,CSC2093,STA211,GST111,GST113,BIO101"
15,50C,60B,35F,34F,,77A,50C,87A,45D,55C,23F,47D,,2.14,2.14,"CHM101,PHY103,BIO101,CSC101,STA111",29F,,,,,,,65B,50C,38F,,56C,14F,,1.92,2.06,"MAT102,PHY108,AFE124,STA132,CSC102,MAT104,CSC104,AFE128,AFE130,AFE132,CHM101,PHY103,BIO101,CSC101,STA111",,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,MAT102,PHY108,AFE124,STA132,CSC102,MAT104,CSC104,AFE128,AFE130,AFE132,CHM101,PHY103,BIO101,CSC101,STA111",,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,MAT102,PHY108,AFE124,STA132,CSC102,MAT104,CSC104,AFE128,AFE130,AFE132,CHM101,PHY103,CSC208,CSC206,CSC202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,MAT102,PHY108,AFE124,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202",,,,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202"
16,45D,60B,45D,45D,,50C,60B,50C,55C,45D,54C,27F,,2.59,2.59,"PHY107,CSC101,STA111",57C,,55C,,,,,47D,57C,45D,,36F,29F,,1.69,2.26,"PHY108,PHY102,STA132,CSC102,MAT104,CSC104,PHY107,CSC101,STA111",,,,67B,,,45D,45D,60B,45D,45D,46D,50C,,,,,50C,50C,,,,36F,,2.32,2.26,"STA111,STA211,STA132,PHY107,STA111",,,,60B,83A,56C,63B,53C,,,,,54C,53C,52C,52C,62B,,3.54,2.67,"CSC208,AFE202,GST212,STA111,STA211,STA132,PHY107,STA111",,,,,,,,,,,72A,51C,45D,60B,50C,14F,25F,45D,,,,,,,,,56C,50C,2.50,2.67,"CSC311,CSC309,GST301,AFE202,GST212,STA132,PHY107",,,,,,,50C,,56C,45D,51C,45D,60B,,,33F,,,,,2.55,2.63,"GST212,CSC312,CSC314,CSC311,CSC309,GST301,AFE202,GST212,STA132,PHY107"
17,57C,54C,45D,53C,50C,45D,50C,52C,45D,47D,55C,71A,45D,2.61,2.61,PASS,,46D,,,90A,70A,60B,54C,60B,50C,45D,51C,67B,50C,3.42,2.98,PASS,,,64B,,,,,45D,60B,50C,55C,50C,52C,,,,,65B,50C,,,,,46D,3.04,2.98,PASS,,,75A,,,60B,62B,62B,51C,,50C,,,51C,,,56C,,3.52,3.11,PASS,,,,,,,,,,,54C,76A,64B,64B,70A,45D,50C,46D,,,75A,,,,,,,,3.62,3.11,PASS,,,,,,,,,80A,45D,60B,62B,61B,45D,45D,,,,,,3.36,3.22,PASS
18,75A,51C,55C,51C,55C,50C,60B,70A,78A,66B,61B,75A,45D,3.61,3.61,PASS,72A,,,63B,,60B,70A,63B,60B,60B,50C,51C,64B,60B,3.92,3.75,PASS,,,,78A,,,,45D,72A,60B,56C,45D,52C,,,,,71A,63B,,,,,60B,3.72,3.75,PASS,,,76A,,,67B,61B,63B,57C,,70A,,,51C,,,72A,,4.00,3.80,PASS,,,,,,,,,,,67B,78A,65B,54C,53C,50C,51C,55C,,,68B,,,,,,,,3.54,3.80,PASS,,,,,,,,,76A,65B,60B,70A,71A,50C,71A,,,,,,4.45,3.74,PASS
19,50C,50C,45D,53C,50C,45D,54C,74A,68B,47D,64B,72A,45D,3.04,3.04,PASS,,50C,,73A,,45D,60B,73A,61B,15F,45D,50C,61B,45D,2.79,2.92,MAT102,,,68B,,,,,50C,60B,60B,50C,46D,50C,,,,,46D,50C,,,,,51C,3.08,2.92,PASS,,,73A,,,72A,65B,60B,57C,,79A,50C,,73A,,,65B,,4.13,3.25,PASS,,,,,,,,,,,52C,66B,58C,70A,70A,50C,60B,45D,,,65B,,,,,,,,3.65,3.25,PASS,,,,,,,,,70A,53C,60B,71A,61B,50C,63B,,,,,,4.05,3.33,PASS
20,63B,53C,45D,51C,50C,46D,46D,58C,45D,48D,63B,79A,51C,2.75,2.75,PASS,,60B,,67B,,56C,50C,55C,55C,45D,45D,45D,60B,50C,2.75,2.75,PASS,,,63B,,,,,45D,53C,45D,50C,45D,50C,,,,,45D,46D,,,,,45D,2.36,2.75,PASS,,,74A,,,57C,,60B,52C,,61B,,,63B,,,52C,,3.56,2.80,CSC204,,,,,,,,,,,60B,53C,50C,67B,60B,50C,45D,45D,,,61B,,,,,,,,3.19,2.80,PASS,,,,,50C,,,,62B,50C,61B,60B,50C,45D,60B,,,,,,3.42,2.88,PASS
21,61B,55C,46D,54C,50C,54C,47D,48D,71A,47D,54C,51C,25F,2.61,2.61,STA111,,46D,,48D,,53C,45D,47D,52C,45D,53C,50C,60B,50C,2.63,2.62,STA111,,,61B,,,,,45D,46D,,45D,47D,64B,,,,,51C,50C,,,,,45D,2.45,2.62,"CSC205,STA111",,,,,,,,,,,,,,,,,,,0.00,2.57,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC205,STA111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.57,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC205,STA111",,,,,,,,,,,,,,,,,,,,,0.00,2.57,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC205,STA111"
22,65B,52C,45D,46D,17F,33F,35F,50C,67B,46D,45D,20F,45D,1.82,1.82,"GST111,CSC101,GST113,PHY107",,47D,45D,,,12F,45D,46D,50C,50C,21F,51C,58C,45D,1.88,1.85,"MAT104,CSC102,GST111,CSC101,GST113,PHY107",,,66B,,,,,45D,29F,45D,22F,45D,52C,,45D,,,45D,16F,,,64B,,46D,1.54,1.85,"CSC207,CSC203,MAT205,CSC102,GST111,CSC101",,,,,,50C,60B,41F,48D,,53C,,50C,65B,,,59C,,2.74,1.96,"CSC206,AFE202,CSC207,CSC203,MAT205,CSC102,GST111,CSC101",,,,,,,,,,,61B,65B,26F,46D,50C,45D,45D,45D,,,56C,,,,,,,,2.42,1.96,"CSC303,CSC206,AFE202,CSC207,CSC203,MAT205,CSC102,GST111,CSC101",,,,,,6F,,,62B,3F,20F,73A,50C,17F,,,,,,,1.90,2.05,"CSC206,CSC304,CSC312,CSC306,CSC314,CSC303,CSC206,AFE202,CSC207,CSC203,MAT205,CSC102,GST111,CSC101"
23,60B,51C,45D,51C,74A,45D,65B,78A,45D,68B,58C,61B,76A,3.50,3.50,PASS,,56C,,,86A,50C,50C,53C,60B,64B,45D,56C,63B,46D,3.13,3.33,PASS,,,70A,,,,,45D,54C,63B,55C,50C,58C,,,,,56C,51C,,,,,10F,2.72,3.33,STA211,,,81A,,,67B,65B,60B,47D,,57C,,,73A,,,67B,,3.81,3.28,STA211,,,,,,,,,,,60B,62B,50C,68B,71A,45D,50C,45D,,,60B,,,,,,,50C,3.38,3.28,PASS,,,,,,,,,50C,50C,17F,61B,60B,45D,45D,,,,,,2.59,3.30,CSC306
24,65B,57C,50C,61B,63B,61B,61B,60B,60B,65B,76A,76A,72A,4.07,4.07,PASS,,70A,60B,,,61B,82A,64B,63B,60B,60B,60B,66B,72A,4.25,4.15,PASS,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308"
25,57C,54C,22F,60B,55C,60B,64B,70A,47D,62B,64B,0F,70A,3.21,3.21,"PHY107,BIO101",65B,,,,100A,75A,70A,57C,54C,70A,62B,46D,50C,61B,3.96,3.56,"PHY107,BIO101",,,,86A,,,,45D,76A,60B,45D,50C,55C,,,,,76A,50C,,,,,60B,3.56,3.56,"PHY107,BIO101",,,63B,,,56C,74A,63B,50C,,60B,,,71A,,,66B,,4.00,3.65,"PHY107,BIO101",,,,,,,,,,,60B,80A,70A,74A,72A,45D,72A,70A,,,58C,,,,,,,,4.38,3.65,"PHY107,BIO101",,,,,,,,,80A,55C,72A,79A,70A,14F,60B,,,,,,3.91,3.81,"CSC312,PHY107,BIO101"
26,57C,46D,45D,54C,55C,46D,51C,66B,60B,60B,74A,93A,75A,3.46,3.46,PASS,85A,,,77A,,71A,78A,64B,61B,71A,62B,53C,66B,71A,4.42,3.90,PASS,,,,86A,,,,70A,70A,70A,62B,52C,73A,,,,,56C,90A,,,,,60B,4.36,3.90,PASS,,,74A,,,73A,72A,61B,58C,,63B,,,73A,,,81A,,4.48,4.14,PASS,,,,,,,,,,,60B,72A,70A,78A,61B,50C,76A,75A,,,61B,,,,,,,,4.46,4.14,PASS,,,,,,,,,80A,60B,71A,88A,70A,50C,70A,,,,,,4.59,4.21,PASS
27,46D,51C,45D,54C,45D,50C,47D,39F,,48D,61B,74A,51C,2.48,2.48,"GST115,MAT101",61B,,,,75A,50C,70A,46D,55C,50C,45D,45D,67B,45D,3.00,2.73,"GST115,MAT101",,,,77A,,,,45D,63B,25F,45D,55C,70A,,,48D,23F,45D,,,,,,45D,2.07,2.73,"CSC205,MAT101,MAT205,MAT101",,,77A,,,65B,77A,62B,51C,,87A,,,70A,,,58C,,4.14,2.86,"CSC205,MAT101,MAT205,MAT101",,,,,,,45D,,,,60B,,53C,72A,51C,50C,,60B,,,,16F,,51C,,,,,3.00,2.86,"CSC301,CSC311,GST301,MAT101,MAT101",,,,,,,,,55C,51C,71A,71A,60B,50C,46D,,,,,,3.55,2.89,"CSC301,CSC311,GST301,MAT101,MAT101"
28,52C,46D,28F,45D,52C,33F,45D,52C,23F,45D,63B,67B,16F,1.64,1.64,"GST111,BIO101,MAT101,STA111",,57C,65B,,,45D,72A,75A,55C,50C,45D,45D,71A,50C,3.17,2.35,"GST111,BIO101,MAT101,STA111",,,,,50C,,,25F,60B,51C,45D,47D,52C,45D,,,47D,,,,,,60B,,2.50,2.35,"CSC201,STA211,MAT201,MAT205,AFE203,AFE2051",,,84A,,,60B,68B,66B,50C,,67B,,,71A,,,64B,,4.05,2.75,"CSC201,STA211,MAT201,MAT205,AFE203,AFE2051",,,,,45D,,,,,,50C,63B,,68B,62B,50C,50C,,,,,,62B,62B,,,,51C,3.40,2.75,"CSC303,GST301,CSC315,AFE203,AFE2051",,,,,,,,,68B,50C,60B,61B,60B,22F,45D,,,,,,3.05,2.90,"CSC312,CSC303,GST301,CSC315,AFE203,AFE2051"
29,45D,52C,45D,54C,52C,50C,46D,45D,70A,50C,64B,73A,47D,2.96,2.96,PASS,50C,,,60B,,45D,60B,62B,60B,50C,45D,55C,45D,53C,3.04,3.00,PASS,,,,70A,,,,45D,61B,54C,29F,45D,50C,,,,,50C,45D,,,,,45D,2.40,3.00,CSC207,,,82A,,,67B,73A,64B,60B,,76A,,,75A,,,60B,,4.43,3.15,CSC207,,,,,,,,9F,,,62B,70A,46D,52C,48D,45D,45D,46D,,,61B,,,,,,,,2.55,3.15,CSC207,,,,,,,,,70A,45D,50C,51C,50C,45D,45D,,,,,,2.95,3.02,CSC207
30,52C,60B,45D,60B,64B,56C,63B,56C,53C,52C,60B,88A,71A,3.57,3.57,PASS,77A,,63B,,,60B,84A,71A,64B,64B,61B,45D,71A,50C,3.96,3.75,PASS,,,,85A,,,,58C,70A,52C,45D,51C,70A,,,,,71A,55C,,,,,60B,3.64,3.75,PASS,,,79A,,,67B,71A,57C,55C,,75A,,,67B,,,68B,,4.00,3.78,PASS,,,,,,,,,,,57C,74A,70A,80A,56C,65B,60B,70A,,,61B,,,,,,,,4.23,3.78,PASS,,,,,,,,,80A,70A,71A,77A,70A,50C,51C,,,,,,4.45,3.87,PASS
31,52C,51C,45D,50C,45D,45D,47D,53C,75A,46D,55C,47D,45D,2.64,2.64,PASS,,50C,,,84A,45D,46D,53C,60B,50C,21F,52C,63B,50C,2.58,2.62,MAT104,,,63B,,,,,45D,45D,31F,29F,51C,60B,,,,,29F,17F,,,,,55C,1.40,2.62,"MAT205,CSC205,CSC207,MAT201",,,50C,,,45D,50C,45D,55C,,36F,,50C,67B,,,58C,,2.63,2.32,"GST212,MAT205,CSC205,CSC207,MAT201",,,,,,,26F,45D,,,54C,60B,23F,,51C,50C,,50C,,,,,45D,45D,,,,,2.20,2.32,"CSC303,CSC305,CSC311,GST301,GST212,CSC205",,,,,,,,,56C,45D,45D,60B,55C,45D,9F,32F,,,,,2.13,2.29,"CSC314,CSC303,CSC305,CSC311,GST301,GST212,CSC205"
