STUDENT ID,AFE 101,AFE 103,BIO 101,CHM101,CSC 101,GST 111,GST 113,GST 115,MAT 101,PHY 101,PHY 103,PHY 107,STA 111,100L_1ST_GPA,100L_1ST_CGPA,100L_1ST_REMARK,AFE 124,AFE126,AFE128,AFE130,AFE132,CSC 102,CSC 104,GST114,GST122,MAT102,MAT104,PHY 102,PHY108,STA 132,100L_2ND_GPA,100L_2ND_CGPA,100L_2ND_REMARK,AFE 101,AFE 103,AFE203,AFE2051,BIO 101,CHM101,CSC 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,GST 111,GST 113,GST 115,MAT 101,MAT201,MAT 205,PHY 101,PHY 103,PHY 107,STA 111,STA 211,200L_1ST_GPA,200L_1ST_CGPA,200L_1ST_REMARK,AFE126,AFE130,AFE202,CSC 102,CSC 104,CSC202,CSC204,CSC206,CSC208,GST114,GST212,MAT102,MAT104,MAT204,PHY 102,PHY108,PHY202,STA 132,200L_2ND_GPA,200L_2ND_CGPA,200L_2ND_REMARK,AFE 103,AFE203,AFE2051,BIO 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,CSC299,CSC301,CSC303,CSC305,CSC307,CSC309,CSC311,CSC315,GST 113,GST 115,GST301,MAT 101,MAT201,MAT 205,PHY 101,PHY 107,STA 111,STA 211,300L_1ST_GPA,300L_1ST_CGPA,300L_1ST_REMARK,AFE126,AFE128,AFE202,CSC202,CSC 204,CSC 206,CSC 208,CSC208,CSC 302,CSC 304,CSC 306,CSC 308,CSC 310,CSC 312,CSC 314,GST212,MAT 204,PHY 102,PHY108,PHY 202,300L_2ND_GPA,300L_2ND_CGPA,300L_2ND_REMARK
59,52C,53C,10F,45D,45D,29F,39F,26F,71A,19F,45D,0F,45D,1.54,1.54,"PHY107,GST113,GST115,BIO101,GST111,PHY101",,55C,,,85A,45D,50C,45D,0F,60B,26F,51C,63B,45D,2.33,1.90,"GST122,MAT104,PHY107,GST113,GST115,BIO101,GST111,PHY101",,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.90,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST122,MAT104,PHY107,GST113,GST115,BIO101,GST111,PHY101",,,,,,,,,,,,,,,,,,,0.00,1.90,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST122,MAT104,PHY107,GST113,GST115,BIO101,GST111,PHY101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.90,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST122,MAT104,PHY107,CSC301,CSC305,CSC311,CSC303,CSC309",,,,,,,,,,,,,,,,,,,,,0.00,1.90,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309"
60,65B,57C,26F,71A,51C,55C,50C,72A,77A,66B,66B,53C,50C,3.43,3.43,BIO101,83A,,,,88A,51C,62B,75A,60B,50C,60B,46D,70A,61B,3.71,3.56,BIO101,,,,82A,45D,,,45D,55C,53C,45D,57C,72A,,,,,55C,50C,,,,,45D,2.71,3.56,PASS,,,86A,,,67B,70A,75A,50C,,70A,,,63B,,,65B,,4.29,3.48,PASS,,,,,,,,,,,60B,70A,51C,70A,76A,50C,77A,45D,,,64B,,,,,,,,4.00,3.48,PASS,,,,,,,,,67B,45D,71A,70A,60B,50C,45D,,,,,,3.59,3.58,PASS
61,54C,54C,45D,53C,82A,53C,45D,67B,50C,68B,73A,78A,70A,3.61,3.61,PASS,57C,,,61B,,64B,70A,56C,60B,70A,70A,51C,68B,62B,4.13,3.85,PASS,,,,71A,,,,70A,76A,63B,53C,50C,68B,,,,,71A,77A,,,,,57C,4.20,3.85,PASS,,,75A,,,80A,72A,83A,50C,,69B,,,67B,,,71A,,4.48,4.07,PASS,,,,,,,,,,,70A,80A,76A,75A,60B,67B,76A,80A,,,63B,,,,,,,,4.69,4.07,PASS,,,,,,,,,78A,60B,70A,85A,70A,60B,66B,,,,,,4.59,4.20,PASS
62,52C,51C,45D,51C,51C,50C,56C,68B,56C,48D,57C,52C,46D,2.79,2.79,PASS,,45D,,,77A,50C,74A,54C,66B,45D,50C,47D,62B,50C,3.17,2.96,PASS,,,66B,,,,,46D,60B,70A,45D,45D,56C,,,,,45D,52C,,,,,50C,2.96,2.96,PASS,,,66B,,,60B,55C,51C,45D,,55C,,,61B,,,61B,,3.33,3.04,PASS,,,,,,,,,,,60B,74A,73A,70A,64B,50C,50C,57C,,,60B,,,,,,,,4.00,3.04,PASS,,,,,,,,,63B,60B,70A,62B,60B,45D,55C,,,,,,3.73,3.24,PASS
63,46D,57C,50C,80A,78A,60B,70A,78A,60B,56C,72A,66B,60B,4.14,4.14,PASS,,64B,,,86A,88A,87A,72A,70A,62B,70A,56C,70A,71A,4.58,4.35,PASS,,,84A,,,,,79A,84A,74A,66B,70A,72A,,70A,,,75A,87A,,,,,78A,4.89,4.35,PASS,,,83A,,,82A,64B,76A,53C,,82A,,,75A,,,78A,,4.57,4.54,PASS,,,,,,,,,,,70A,75A,79A,80A,79A,70A,76A,85A,,,64B,,,,,,,,4.92,4.54,PASS,,,,,,,,,81A,70A,75A,79A,72A,86A,60B,,,,,,4.86,4.62,PASS
64,52C,47D,45D,50C,50C,50C,33F,45D,48D,52C,65B,0F,45D,2.32,2.32,"PHY107,GST113",,67B,,,82A,62B,86A,61B,60B,60B,52C,50C,65B,61B,3.92,3.06,"PHY107,GST113",,,77A,,,,,52C,73A,70A,66B,54C,60B,,60B,,,60B,65B,,,70A,,53C,4.00,3.06,PASS,,,63B,,,64B,63B,60B,39F,,76A,,,61B,,,52C,,3.38,3.39,CSC208,,,,,,,,,,,60B,60B,57C,70A,61B,50C,62B,55C,,,63B,,,,,,,,3.77,3.39,PASS,,,,,,,72A,,71A,73A,63B,83A,76A,60B,70A,,,,,,4.75,3.46,PASS
65,45D,52C,45D,56C,50C,45D,63B,60B,50C,50C,64B,60B,46D,2.93,2.93,PASS,,52C,67B,,,45D,50C,64B,60B,45D,45D,36F,57C,45D,2.38,2.67,PHY102,,,63B,,,,,45D,51C,45D,45D,50C,54C,,,,,45D,27F,,,,,46D,2.08,2.67,MAT205,,,79A,,,52C,70A,52C,54C,,71A,,,,48D,,68B,,3.57,2.71,"MAT204,MAT205",,,,,,,,,,,60B,72A,50C,50C,46D,45D,62B,45D,,,53C,,,,,,,,3.12,2.71,"MAT204,MAT205",,,,,,,,,52C,45D,50C,53C,60B,23F,61B,,,,,,2.73,2.80,"CSC312,MAT204,MAT205"
66,51C,50C,45D,50C,45D,50C,49D,51C,61B,46D,56C,0F,45D,2.54,2.54,PHY107,72A,,61B,,,45D,45D,45D,57C,50C,28F,46D,0F,18F,1.92,2.25,"PHY108,STA132,MAT104,PHY107",,,,84A,,,,28F,60B,51C,45D,45D,60B,,,,,50C,52C,,,,,45D,2.56,2.25,"CSC201,PHY108,MAT104,PHY107",,,65B,,,45D,64B,55C,51C,,56C,,,61B,,,66B,67B,3.39,2.59,"CSC201,PHY108,MAT104,PHY107",,,,,10F,,,,,,70A,68B,50C,46D,52C,45D,46D,23F,,,57C,,,,,63B,,,2.43,2.59,"CSC315,CSC201,PHY108,MAT104",,,,,,,,,64B,,50C,60B,54C,45D,45D,,,,,,3.05,2.55,"CSC304,CSC315,CSC201,PHY108,MAT104"
67,45D,50C,46D,50C,61B,45D,51C,73A,70A,50C,65B,78A,51C,3.39,3.39,PASS,,62B,61B,,,50C,73A,63B,53C,60B,45D,52C,64B,45D,3.38,3.38,PASS,,,61B,,,,,50C,70A,71A,60B,52C,67B,,,,,65B,71A,,,,,60B,4.16,3.38,PASS,,,80A,,,67B,70A,67B,51C,,68B,,,71A,,,57C,,4.05,3.72,PASS,,,,,,,,,,,70A,71A,50C,76A,80A,45D,75A,70A,,,57C,,,,,,,,4.27,3.72,PASS,,,,,,,,,76A,45D,60B,60B,70A,50C,60B,,,,,,3.91,3.84,PASS
68,51C,45D,45D,50C,50C,50C,31F,45D,74A,23F,57C,68B,50C,2.61,2.61,"GST113,PHY101",,51C,,,82A,54C,60B,53C,45D,45D,50C,54C,51C,24F,2.75,2.67,"STA132,GST113,PHY101",,,64B,,,,,45D,60B,,45D,11F,45D,,45D,,,51C,,47D,,,,45D,2.30,2.67,"CSC2093,CSC205,MAT205",,,71A,,,46D,71A,64B,54C,,65B,,,56C,,,64B,62B,3.65,2.82,"CSC2093,CSC205,MAT205",,,,,,,13F,,45D,,60B,64B,46D,48D,50C,45D,,23F,,,55C,,,11F,,,,,1.97,2.82,"CSC315,CSC205,MAT205,CSC311,CSC205,MAT205",,,,,,,,,63B,17F,60B,60B,53C,45D,60B,,,,,,3.05,2.61,"CSC304,CSC315,CSC205,MAT205,CSC311,CSC205,MAT205"
69,46D,50C,45D,55C,60B,61B,63B,68B,37F,34F,63B,77A,46D,2.68,2.68,"MAT101,PHY101",76A,,,61B,,50C,76A,71A,61B,63B,50C,52C,66B,60B,3.88,3.23,"MAT101,PHY101",,,,80A,,,,55C,62B,,53C,48D,68B,,,,51C,60B,62B,,,,,52C,3.40,3.23,"CSC205,PHY101",,,73A,,,72A,70A,72A,52C,,79A,,,55C,,,66B,,4.29,3.50,"CSC205,PHY101",,,,,,,19F,,,,60B,66B,54C,70A,62B,60B,61B,63B,,,58C,,,,30F,,,,3.29,3.50,"CSC205,CSC205,PHY101",,,,,,,,,68B,45D,54C,75A,64B,23F,62B,,,,,,3.18,3.45,"CSC312,CSC205,CSC205,PHY101"
70,50C,53C,45D,60B,53C,50C,57C,60B,80A,45D,66B,61B,52C,3.32,3.32,PASS,,50C,,66B,,50C,60B,51C,57C,50C,45D,52C,67B,45D,3.00,3.17,PASS,,,63B,,,,,50C,61B,50C,45D,52C,45D,,,,,46D,45D,,,,,50C,2.76,3.17,PASS,,,75A,,,47D,72A,53C,50C,,61B,,,70A,,,62B,,3.76,3.19,PASS,,,,,,,,,,,60B,74A,45D,61B,61B,45D,50C,45D,,,62B,,,,,,,,3.31,3.19,PASS,,,,,,,,,65B,46D,64B,53C,60B,20F,50C,,,,,,2.91,3.22,CSC312
71,54C,55C,45D,60B,60B,50C,62B,53C,51C,41F,65B,71A,55C,3.11,3.11,PHY101,,64B,62B,,,72A,70A,62B,60B,50C,50C,54C,68B,60B,3.88,3.46,PHY101,,,64B,,,,,50C,61B,55C,50C,52C,70A,,,,,63B,74A,,,,,60B,3.72,3.46,PHY101,,,68B,,,60B,63B,60B,46D,,58C,,,64B,,,64B,,3.62,3.56,PHY101,,,,,,,,,,,60B,84A,60B,70A,61B,51C,71A,72A,,,57C,,,,46D,,,,4.11,3.56,PASS,,,,,,,,,80A,46D,61B,70A,67B,45D,62B,,,,,,3.77,3.68,PASS
72,46D,57C,45D,45D,50C,45D,57C,46D,66B,45D,50C,60B,45D,2.57,2.57,PASS,,16F,57C,,,45D,50C,47D,50C,45D,50C,53C,31F,46D,2.33,2.46,"PHY108,AFE126",,,66B,,,,,45D,55C,45D,45D,45D,,,,,,51C,45D,,,,,14F,2.08,2.46,"STA211,CSC211,PHY108",68B,,79A,,,47D,62B,47D,30F,,,,,70A,,,61B,,3.00,2.48,"CSC208,GST212,STA211,CSC211,PHY108",,,,,,,,,,,60B,65B,45D,58C,56C,45D,45D,24F,,,46D,,,,,,,18F,2.21,2.48,"CSC315,GST212,STA211,CSC211,PHY108",,,,,,,45D,,62B,13F,64B,54C,50C,45D,50C,,,,,,2.71,2.42,"CSC304,CSC315,GST212,STA211,CSC211,PHY108"
73,45D,0F,45D,52C,45D,33F,27F,29F,52C,39F,54C,0F,18F,1.36,1.36,"GST111,PHY107,GST115,GST113,PHY101,STA111,AFE103",38F,,,,83A,28F,45D,51C,45D,45D,16F,45D,0F,14F,1.38,1.37,"AFE124,STA132,CSC102,MAT104,PHY108,GST111,PHY107,GST115,GST113,PHY101,STA111,AFE103",,,,,,,,60B,60B,46D,45D,50C,54C,,,,,0F,,,,,,,2.50,1.37,"MAT201,STA211,MAT205,AFE203,AFE2051,AFE124,STA132,MAT104,PHY108,GST111,PHY107,GST115,GST113,PHY101,STA111,AFE103",,,70A,45D,,35F,57C,26F,51C,,66B,,,71A,,,,,2.48,1.85,"CSC202,CSC206,PHY202,MAT201,STA211,MAT205,AFE203,AFE2051,AFE124,STA132,MAT104,PHY108,GST111,PHY107,GST115,GST113,PHY101,STA111,AFE103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.85,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC202,CSC206,PHY202,MAT201,STA211,MAT205,AFE203,AFE2051,AFE124,STA132,MAT104,PHY108,GST111,PHY107,GST115,GST113,PHY101,STA111,AFE103",,,,,,,,,,,,,,,,,,,,,0.00,1.85,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC202,CSC206,PHY202,MAT201,STA211,MAT205,AFE203,AFE2051,AFE124,STA132,MAT104,PHY108,GST111,PHY107,GST115,GCSC302,CSC304,CSC306"
74,62B,0F,45D,50C,53C,45D,53C,48D,51C,45D,61B,0F,62B,2.68,2.68,"PHY107,AFE103",71A,,,,72A,50C,87A,65B,63B,61B,60B,36F,0F,64B,3.42,3.02,"PHY102,PHY108,PHY107,AFE103",,,,80A,,,,45D,60B,45D,45D,51C,,,,,,51C,51C,,,,,19F,2.46,3.02,"STA211,CSC211,PHY102,PHY108,PHY107,AFE103",,,,,,,,,,,,,,,,,,,0.00,2.84,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,STA211,CSC211,PHY102,PHY108,PHY107,AFE103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.84,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,STA211,CSC211,PHY102,PHY108,PHY107,AFE103",,,,,,,,,,,,,,,,,,,,,0.00,2.84,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,STA211,CSC211,PHY102,PHY108,PHY107,AFE103"
75,52C,48D,45D,51C,63B,45D,48D,60B,67B,48D,70A,76A,53C,3.14,3.14,PASS,56C,,,76A,,51C,60B,76A,60B,50C,45D,45D,68B,45D,3.17,3.15,PASS,,,,70A,,,,45D,60B,45D,45D,50C,73A,,,,,61B,52C,,,,,46D,2.92,3.15,PASS,,,76A,,,74A,72A,61B,52C,,76A,,,71A,,,68B,,4.43,3.37,PASS,,,,,,,,,,,60B,72A,46D,60B,51C,45D,50C,70A,,,56C,,,,,,,,3.46,3.37,PASS,,,,,,,,,68B,52C,64B,64B,63B,45D,53C,,,,,,3.45,3.39,PASS
76,46D,50C,45D,50C,60B,60B,46D,50C,62B,50C,64B,83A,61B,3.32,3.32,PASS,,66B,,71A,,65B,74A,56C,60B,60B,50C,50C,67B,70A,3.92,3.60,PASS,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.60,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,0.00,3.60,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.60,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,0.00,3.60,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308"
77,51C,62B,22F,61B,45D,45D,45D,45D,61B,47D,57C,63B,50C,2.57,2.57,BIO101,,0F,,,,9F,0F,0F,61B,0F,0F,35F,45D,,0.48,1.67,"AFE126,CSC102,MAT102,MAT104,PHY102,GST114,CSC104,STA132,AFE128,AFE130,AFE132,BIO101",,,52C,,,,,11F,45D,45D,46D,17F,,,,,,45D,21F,,,,,45D,1.38,1.67,"CSC2093,CSC201,MAT205,CSC211,AFE126,CSC102,MAT102,MAT104,PHY102,GST114,CSC104,STA132,AFE128,AFE130,AFE132,BIO101",,,,,,,,,,,,,,,,,,,0.00,1.58,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC2093,CSC201,MAT205,CSC211,AFE126,CSC102,MAT102,MAT104,PHY102,GST114,CSC104,STA132,AFE128,AFE130,AFE132,BIO101",,,,,72A,,,,,,,,6F,36F,38F,,,18F,,,,,,82A,,,,,1.67,1.58,"CSC315,CSC307,CSC305,CSC303,CSC301,CSC311,CSC309,GST301,CSC299,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC2093,CSC211,AFE126,CSC102,MAT102,MAT104,PHY102,GST114,CSC104,STA132,AFE128,AFE130,AFE132,BIO101",,,,,,,,,,,,,,,,,,,,,0.00,1.59,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC315,CSC307,CSC305,CSC303,CSC301,CSC311,CSC309,GST301,CSC299,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC2093,CSC211,AFE126,CSC102,MAT102,MAT104,PHY102,GCSC302,CSC304,CSC306,CSC308,CSC310,CSC312"
78,62B,53C,54C,50C,72A,50C,48D,64B,67B,68B,75A,60B,46D,3.50,3.50,PASS,77A,,,,77A,88A,78A,55C,60B,70A,60B,54C,66B,50C,4.17,3.81,PASS,,,,85A,,,,70A,71A,60B,50C,45D,65B,,,,,72A,85A,,,,,60B,4.24,3.81,PASS,,,,,,,,,,,,,,,,,,,0.00,3.95,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.95,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212",,,,,,,,,,,,,,,,,,,,,0.00,3.95,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212"
79,52C,50C,45D,55C,64B,50C,60B,50C,48D,60B,64B,48D,45D,2.96,2.96,PASS,,60B,,,88A,33F,66B,60B,47D,50C,45D,51C,63B,46D,2.71,2.85,CSC102,,,55C,,,,,56C,70A,65B,45D,54C,64B,,,,,50C,51C,,,,,45D,3.16,2.85,PASS,,,60B,53C,,46D,63B,45D,48D,,62B,,,56C,,,58C,,2.88,2.93,PASS,,,,,,,,,,,60B,75A,64B,70A,70A,60B,63B,60B,,,65B,,,,,,,,4.35,2.93,PASS,,,,,,,,,79A,45D,70A,72A,70A,50C,53C,,,,,,4.05,3.22,PASS
80,62B,50C,50C,52C,71A,50C,71A,70A,74A,54C,71A,57C,53C,3.89,3.89,PASS,73A,,,,90A,72A,79A,65B,60B,73A,60B,50C,64B,46D,4.17,4.02,PASS,,,,81A,,,,50C,73A,45D,50C,50C,65B,,,,,45D,45D,,,,,60B,3.12,4.02,PASS,,,76A,,,71A,71A,73A,62B,,70A,,,70A,,,68B,,4.71,3.94,PASS,,,,,,,,,,,70A,60B,57C,68B,60B,45D,51C,60B,,,62B,,,,,,,,3.65,3.94,PASS,,,,,,,,,66B,46D,70A,71A,63B,45D,60B,,,,,,3.73,3.88,PASS
81,,,,,,,,,,,,,,0.00,0.00,"CSC101,STA111,CHM101,BIO101,AFE101,AFE103,GST111,GST113,GST115,PHY101,PHY103,PHY107,MAT101",,,,,,5F,0F,0F,0F,0F,0F,31F,0F,,0.00,0.00,"GST122,GST114,CSC104,PHY108,PHY102,MAT104,MAT102,CSC102,STA132,AFE124,AFE126,AFE128,AFE130,AFE132,CSC101,STA111,CHM101,BIO101,AFE101,AFE103,GST111,GST113,GST115,PHY101,PHY103,PHY107,MAT101",,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST122,GST114,CSC104,PHY108,PHY102,MAT104,MAT102,CSC102,STA132,AFE124,AFE126,AFE128,AFE130,AFE132,CSC101,STA111,CHM101,BIO101,AFE101,AFE103,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205",,,,,,,,,,,,,,,,,,,0.00,0.00,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST122,GST114,CSC104,PHY108,PHY102,MAT104,MAT102,CSC102,STA132,AFE124,AFE126,AFE128,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST122,GST114,CSC104,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205",,,,,,,,,,,,,,,,,,,,,0.00,0.00,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205"
82,57C,53C,45D,52C,45D,60B,62B,22F,77A,32F,76A,0F,45D,2.64,2.64,"PHY107,GST115,PHY101",71A,,62B,,,60B,70A,61B,70A,45D,52C,54C,73A,46D,3.63,3.10,"PHY107,GST115,PHY101",,,,,,,,45D,66B,60B,,48D,55C,,,59C,,50C,45D,45D,,,,45D,2.72,3.10,"CSC207,AFE203,AFE2051,PHY107",,,,,,66B,62B,60B,58C,,,,,71A,,,50C,,3.83,3.14,"AFE202,GST212,CSC207,AFE203,AFE2051,PHY107",,56C,,,,,,,,,50C,79A,62B,60B,60B,45D,52C,62B,,,64B,,,,,,,,3.63,3.14,"CSC207,PHY107",,,71A,,,,,,67B,46D,64B,70A,60B,45D,60B,52C,,,,,3.60,3.25,"CSC207,PHY107"
83,46D,46D,45D,50C,46D,45D,45D,54C,61B,50C,50C,62B,45D,2.61,2.61,PASS,65B,,,,75A,45D,60B,57C,52C,50C,50C,50C,67B,50C,3.17,2.87,PASS,,,,77A,,,,45D,62B,46D,46D,45D,66B,,,,,60B,56C,,,,,45D,2.80,2.87,PASS,,,83A,,,67B,71A,70A,51C,,57C,,,71A,,,61B,,4.24,3.14,PASS,,,,,,,,,,,70A,59C,45D,66B,60B,45D,55C,71A,,,55C,,,,,,,,3.46,3.14,PASS,,,,,,,,,66B,25F,63B,65B,56C,45D,53C,,,,,,2.91,3.21,CSC304
84,45D,45D,24F,65B,52C,46D,50C,45D,50C,63B,56C,0F,51C,2.54,2.54,"PHY107,BIO101",,47D,,51C,,45D,70A,54C,53C,71A,60B,55C,45D,66B,3.50,2.98,"PHY107,BIO101",,,64B,,54C,,,53C,63B,53C,51C,53C,54C,,,,,61B,52C,,,,,50C,3.25,2.98,PHY107,,,90A,,,67B,57C,70A,54C,,78A,,,67B,,,76A,,4.14,3.30,PHY107,,,,,,,,,,,70A,60B,50C,60B,51C,51C,65B,56C,,,54C,,,,,,,,3.58,3.30,PHY107,,,,,,,,,77A,45D,62B,61B,70A,60B,45D,,,,,,3.77,3.35,PHY107
85,46D,45D,45D,45D,60B,45D,46D,45D,51C,54C,65B,46D,45D,2.54,2.54,PASS,,52C,,61B,,50C,52C,46D,56C,50C,45D,50C,66B,45D,2.79,2.65,PASS,,,52C,,,,,50C,50C,60B,45D,45D,62B,,,,,46D,45D,,,,,45D,2.60,2.65,PASS,,,70A,,,66B,80A,66B,54C,,65B,,,66B,,,70A,,4.19,2.97,PASS,,,,,,,,,,,70A,61B,58C,71A,60B,50C,53C,62B,,,63B,,,,,,,,3.88,2.97,PASS,,,,,,,,,62B,50C,53C,64B,60B,50C,60B,,,,,,3.59,3.16,PASS
